Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,postPlay,,,2023-10-22 15:13:31
Gelu,tvui,postPlay,,,2023-10-22 14:30:20
Gelu,tvui,playback,,,2023-10-22 14:30:20
Gelu,tvui,postPlay,,,2023-10-22 14:30:14
Gelu,tvui,playback,,,2023-10-22 14:30:14
Gelu,tvui,playback,,,2023-10-22 13:48:46
Gelu,tvui,movieDetails,,,2023-10-22 13:48:46
Gelu,tvui,movieDetails,,,2023-10-22 13:48:39
Gelu,tvui,browseTitles,,,2023-10-22 13:48:39
Gelu,tvui,movieDetails,,,2023-10-22 13:46:45
Gelu,tvui,browseTitles,,,2023-10-22 13:46:45
Gelu,tvui,playback,,,2023-10-22 13:46:43
Gelu,tvui,movieDetails,,,2023-10-22 13:46:43
Gelu,tvui,movieDetails,,,2023-10-22 13:32:46
Gelu,tvui,playback,,,2023-10-22 13:32:46
Gelu,tvui,movieDetails,,,2023-10-22 13:32:44
Gelu,tvui,browseTitles,,,2023-10-22 13:32:44
Gelu,tvui,profilesGate,,,2023-10-22 13:30:41
Gelu,tvui,profilesGate,,,2023-10-22 13:30:41
Gelu,tvui,browseTitles,,,2023-10-22 13:30:41
Gelu,tvui,profilesGate,,,2023-10-22 13:30:25
Gelu,tvui,browseTitles,,,2023-10-19 16:14:51
Gelu,tvui,search,,,2023-10-19 16:14:51
Gelu,tvui,profilesGate,,,2023-10-19 16:14:45
Gelu,tvui,browseTitles,,,2023-10-19 16:14:45
Gelu,tvui,profilesGate,,,2023-10-19 16:14:42
Gelu,tvui,browseTitlesGallery,,,2023-10-18 18:38:05
Gelu,tvui,browseTitlesGallery,,,2023-10-18 18:38:05
Gelu,tvui,browseTitlesGallery,,,2023-10-18 18:38:05
Gelu,tvui,categoryHub,,,2023-10-18 18:38:05
Gelu,tvui,categoryHub,,,2023-10-18 18:32:53
Gelu,tvui,browseTitlesGallery,,,2023-10-18 18:32:53
Gelu,tvui,browseTitlesGallery,,,2023-10-18 18:32:44
